trips_year,trips_month,DayOfWeekStartTimeNumber,DayOfWeekStartTimeAt,WeekNumber,usertype,trips_average
2014,4,6,Saturday,16,Customer,1738
2014,4,6,Saturday,16,Subscriber,765
2014,4,6,Saturday,17,Customer,1650
2014,4,6,Saturday,17,Subscriber,718
2014,4,7,Sunday,15,Customer,1687
2014,4,7,Sunday,15,Subscriber,745
2014,4,7,Sunday,16,Customer,1630
2014,4,7,Sunday,16,Subscriber,637
2014,4,7,Sunday,17,Customer,1805
2014,4,7,Sunday,17,Subscriber,853
2014,4,7,Sunday,18,Customer,1488
2014,4,7,Sunday,18,Subscriber,712
2014,5,1,Monday,19,Customer,1624
2014,5,1,Monday,19,Subscriber,653
2014,5,1,Monday,20,Customer,1723
2014,5,1,Monday,20,Subscriber,728
2014,5,1,Monday,21,Customer,1689
2014,5,1,Monday,21,Subscriber,722
2014,5,1,Monday,22,Customer,1885
2014,5,1,Monday,22,Subscriber,886
2014,5,2,Tuesday,19,Customer,1484
2014,5,2,Tuesday,19,Subscriber,689
2014,5,2,Tuesday,20,Customer,1500
2014,5,2,Tuesday,20,Subscriber,647
2014,5,2,Tuesday,21,Customer,1773
2014,5,2,Tuesday,21,Subscriber,767
2014,5,2,Tuesday,22,Customer,1654
2014,5,2,Tuesday,22,Subscriber,733
2014,5,3,Wednesday,19,Customer,1878
2014,5,3,Wednesday,19,Subscriber,713
2014,5,3,Wednesday,20,Customer,1452
2014,5,3,Wednesday,20,Subscriber,679
2014,5,3,Wednesday,21,Customer,1668
2014,5,3,Wednesday,21,Subscriber,781
2014,5,3,Wednesday,22,Customer,1508
2014,5,3,Wednesday,22,Subscriber,724
2014,5,4,Thursday,18,Customer,1472
2014,5,4,Thursday,18,Subscriber,586
2014,5,4,Thursday,19,Customer,1685
2014,5,4,Thursday,19,Subscriber,752
2014,5,4,Thursday,20,Customer,1350
2014,5,4,Thursday,20,Subscriber,622
2014,5,4,Thursday,21,Customer,1602
